"Range" "Sequential" "Async (Batch Size 16)" "Async (Batch Size 2)" "Async (Batch Size 32)" "Async (Batch Size 4)" "Async (Batch Size 8)" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" 
3800    0.0247015225    0.0960177064    0.0404168261    0.1115431542    0.0312033583    0.0936544443    0.0016110107    0.0015036278    0.0019219908    0.0141818073    0.0149139088    0.0165176055    0.0007191224    0.0007902372    0.0009245653    0.0043678771    0.0044800302    0.0046548356    0.0048245217 
3900    0.0257180402    0.0985461872    0.0418370072    0.1144545206    0.0321952245    0.0958185332    0.0014670319    0.0015039714    0.0022021504    0.0145399777    0.0152093383    0.0169650465    0.0007475565    0.0008232415    0.0009584714    0.0046233595    0.0046115315    0.0049129576    0.0053571844 
4000    0.0270736911    0.1012420030    0.0433270267    0.1178875538    0.0332680090    0.0985051545    0.0015131460    0.0016521997    0.0024919216    0.0150194069    0.0157190783    0.0174476106    0.0007830493    0.0008543794    0.0009955489    0.0055801724    0.0053998334    0.0060680330    0.0058794359 
4100    0.0286359772    0.1041390210    0.0445148081    0.1201898291    0.0344186355    0.1005895159    0.0015321985    0.0016839108    0.0025489748    0.0153137103    0.0160049141    0.0179224030    0.0008107564    0.0008860189    0.0010296279    0.0050595418    0.0050845310    0.0055617718    0.0052781138 
4200    0.0298401844    0.1070259284    0.0459884506    0.1233900174    0.0355301863    0.1030034608    0.0016129760    0.0017506855    0.0025530749    0.0156920206    0.0164058179    0.0183700259    0.0008393816    0.0009179775    0.0010636532    0.0056778115    0.0056253987    0.0056798304    0.0057444036 
4300    0.0313985822    0.1094348203    0.0473842719    0.1265992308    0.0365421544    0.1057000197    0.0016348276    0.0016830877    0.0025509032    0.0161033954    0.0169006294    0.0188498805    0.0008706099    0.0009499368    0.0011014567    0.0059961965    0.0057631119    0.0062966338    0.0057971890 
4400    0.0330776742    0.1116917204    0.0489339710    0.1294665692    0.0377205030    0.1077749509    0.0016617802    0.0016856074    0.0025574704    0.0164957128    0.0171974963    0.0193042267    0.0009070516    0.0009908334    0.0011422063    0.0059865450    0.0060660659    0.0063714150    0.0060830754 
4500    0.0342366090    0.1140243379    0.0501628423    0.1326178546    0.0388329971    0.1103465803    0.0017436774    0.0018939655    0.0025559422    0.0168991397    0.0176855143    0.0197927369    0.0009410914    0.0010240189    0.0012143857    0.0064780492    0.0063031281    0.0066159091    0.0063064204 
4600    0.0358719011    0.1173972420    0.0522985879    0.1352512000    0.0398238070    0.1129749758    0.0017543233    0.0019459252    0.0025507540    0.0172689880    0.0179710020    0.0202361924    0.0009718533    0.0010626982    0.0012269039    0.0063674479    0.0064433430    0.0071119930    0.0066060565 
4700    0.0376355072    0.1197986310    0.0533769901    0.1381500046    0.0410412557    0.1155471164    0.0017917211    0.0019473536    0.0025523269    0.0176419942    0.0183639193    0.0207607765    0.0010073737    0.0010926757    0.0012562373    0.0070239093    0.0070599921    0.0066692575    0.0067616510 
